"","number","player","yr","pos","ht","b_t","app","gs","era","ip","cg","h","r","er","bb","so","sho","bf","p_oab","x2b_a","x3b_a","bk","hr_a","wp","hb","ibb","inh_run","inh_run_score","sha","sfa","pitches","go","fo","w","l","sv","kl","pickoffs","AB","BAA","team_id","year"
"84","Hits-AB vs lhb","Kyan Bagshaw","Jr","P","-","R/R",NA,NA,0,1.2,NA,0,0,0,4,1,NA,11,"5",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,4,NA,NA,NA,1,NA,NA,NA,597157,2025
"85","Hits-AB w2outs","Kyan Bagshaw","Jr","P","-","R/R",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"86","Bases Empty","Kyan Bagshaw","Jr","P","-","R/R",NA,NA,0,6.1,NA,7,0,0,4,8,NA,32,"26",1,NA,NA,2,NA,2,NA,NA,NA,NA,NA,"",4,7,NA,NA,NA,2,NA,NA,NA,597157,2025
"87","H-AB scorepos","Kyan Bagshaw","Jr","P","-","R/R",NA,NA,0,4,NA,1,0,0,9,10,NA,22,"13",NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,3,NA,NA,NA,597157,2025
"88","H-AB scorepos2","Kyan Bagshaw","Jr","P","-","R/R",NA,NA,0,2,NA,0,0,0,6,5,NA,12,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,2,NA,NA,NA,597157,2025
"89","H-AB runners2","Kyan Bagshaw","Jr","P","-","R/R",NA,NA,0,2.2,NA,0,0,0,7,5,NA,16,"8",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",1,2,NA,NA,NA,2,NA,NA,NA,597157,2025
"90","H-AB bases loaded","Kyan Bagshaw","Jr","P","-","R/R",NA,NA,0,1.2,NA,0,0,0,2,5,NA,7,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2,NA,NA,NA,597157,2025
"91","Hits-AB vs rhb","Kyan Bagshaw","Jr","P","-","R/R",NA,NA,0,11.2,NA,10,0,0,12,19,NA,59,"44",1,1,1,2,1,3,NA,NA,NA,NA,NA,"",6,7,NA,NA,NA,4,NA,NA,NA,597157,2025
"92","24","Evan Scully","Jr","P","-","R/R",17,11,2.17,70.2,3,53,19,17,7,49,1,281,"259",14,NA,1,2,2,9,NA,NA,NA,3,3,"868",83,74,10,NA,NA,20,NA,NA,NA,597157,2025
"93","Succ-Opp against Leadoff Batter","Evan Scully","Jr","P","-","R/R",NA,NA,0,16.2,NA,18,0,0,2,7,NA,72,"69",6,NA,NA,1,NA,1,NA,NA,NA,NA,NA,"",20,23,NA,NA,NA,3,NA,NA,NA,597157,2025
"94","Hits-AB with runners ob","Evan Scully","Jr","P","-","R/R",NA,NA,0,29,NA,22,0,0,1,19,NA,114,"106",5,NA,1,1,2,4,NA,NA,NA,NA,NA,"",27,31,NA,NA,NA,8,NA,NA,NA,597157,2025
"95","Hits-AB vs lhb","Evan Scully","Jr","P","-","R/R",NA,NA,0,13.2,NA,15,0,0,2,8,NA,59,"55",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",15,18,NA,NA,NA,4,NA,NA,NA,597157,2025
"96","Hits-AB w2outs","Evan Scully","Jr","P","-","R/R",NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"97","Bases Empty","Evan Scully","Jr","P","-","R/R",NA,NA,0,41.2,NA,31,0,0,6,30,NA,169,"158",9,NA,NA,1,NA,5,NA,NA,NA,NA,NA,"",52,43,NA,NA,NA,12,NA,NA,NA,597157,2025
"98","H-AB scorepos","Evan Scully","Jr","P","-","R/R",NA,NA,0,14,NA,15,0,0,0,12,NA,64,"59",3,NA,1,NA,2,3,NA,NA,NA,NA,NA,"",15,13,NA,NA,NA,4,NA,NA,NA,597157,2025
"99","H-AB scorepos2","Evan Scully","Jr","P","-","R/R",NA,NA,0,6.1,NA,6,0,0,0,5,NA,27,"27",2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"",8,6,NA,NA,NA,1,NA,NA,NA,597157,2025
"100","H-AB runners2","Evan Scully","Jr","P","-","R/R",NA,NA,0,12,NA,8,0,0,0,8,NA,47,"46",2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,"",12,14,NA,NA,NA,4,NA,NA,NA,597157,2025
