"","number","player","yr","pos","ht","b_t","app","gs","era","ip","cg","h","r","er","bb","so","sho","bf","p_oab","x2b_a","x3b_a","bk","hr_a","wp","hb","ibb","inh_run","inh_run_score","sha","sfa","pitches","go","fo","w","l","sv","kl","pickoffs","AB","BAA","team_id","year","flyout_perc","groundout_perc","k_perc","bb_perc","obp","x1b_a","ops"
"156","Hits-AB with runners ob","John Connolly","Sr","P","-","R/R",0,0,0,29.1,0,20,0,0,10,24,0,115,102,4,1,3,0,3,1,0,0,0,0,0,NA,26,28,0,0,0,7,0,104,0.192307692307692,597157,2025,0.518518518518518,0.481481481481481,0.208695652173913,0.0869565217391304,0.269565217391304,15,0.519565217391304
"157","Hits-AB vs lhb","John Connolly","Sr","P","-","R/R",0,0,0,8.2,0,7,0,0,4,3,0,36,32,3,0,0,0,2,0,0,0,0,0,0,NA,13,9,0,0,0,2,0,32,0.21875,597157,2025,0.409090909090909,0.590909090909091,0.0833333333333333,0.111111111111111,0.305555555555556,4,0.618055555555556
"158","Hits-AB w2outs","John Connolly","Sr","P","-","R/R",0,0,0,0,0,12,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597157,2025,NA,NA,NA,NA,Inf,12,Inf
"159","Bases Empty","John Connolly","Sr","P","-","R/R",0,0,0,22.1,0,26,0,0,17,22,0,115,94,5,0,0,3,0,4,0,0,0,0,0,NA,23,22,0,0,0,7,0,94,0.276595744680851,597157,2025,0.488888888888889,0.511111111111111,0.191304347826087,0.147826086956522,0.408695652173913,18,0.83422756706753
"160","H-AB scorepos","John Connolly","Sr","P","-","R/R",0,0,0,15.2,0,11,0,0,3,11,0,57,52,2,1,3,0,2,0,0,0,0,0,0,NA,13,16,0,0,0,4,0,54,0.203703703703704,597157,2025,0.551724137931034,0.448275862068966,0.192982456140351,0.0526315789473684,0.245614035087719,8,0.523391812865497
"161","H-AB scorepos2","John Connolly","Sr","P","-","R/R",0,0,0,6.1,0,3,0,0,2,4,0,24,22,1,1,1,0,0,0,0,0,0,0,0,NA,5,9,0,0,0,2,0,22,0.136363636363636,597157,2025,0.642857142857143,0.357142857142857,0.166666666666667,0.0833333333333333,0.208333333333333,1,0.481060606060606
"162","H-AB runners2","John Connolly","Sr","P","-","R/R",0,0,0,11.2,0,6,0,0,6,9,0,47,41,2,1,1,0,0,0,0,0,0,0,0,NA,12,12,0,0,0,4,0,41,0.146341463414634,597157,2025,0.5,0.5,0.191489361702128,0.127659574468085,0.25531914893617,3,0.49922158796056
"163","H-AB bases loaded","John Connolly","Sr","P","-","R/R",0,0,0,1,0,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,NA,2,1,0,0,0,0,0,5,0.2,597157,2025,0.333333333333333,0.666666666666667,0,0,0.2,1,0.4
"164","Hits-AB vs rhb","John Connolly","Sr","P","-","R/R",0,0,0,43,0,39,0,0,23,43,0,194,164,6,1,3,3,1,5,0,0,0,0,0,NA,36,41,0,0,0,12,0,166,0.234939759036145,597157,2025,0.532467532467532,0.467532467532468,0.221649484536082,0.118556701030928,0.345360824742268,29,0.68271022233263
"165","24","Evan Scully","Jr","P","-","R/R",17,11,2.17,70.2,3,53,19,17,7,49,1,281,259,14,0,1,2,2,9,0,0,0,3,3,868,83,74,10,0,0,20,0,259,0.204633204633205,597157,2025,0.471337579617834,0.528662420382166,0.174377224199288,0.0249110320284698,0.248201438848921,37,0.530054720702203
"166","Succ-Opp against Leadoff Batter","Evan Scully","Jr","P","-","R/R",0,0,0,16.2,0,18,0,0,2,7,0,72,69,6,0,0,1,0,1,0,0,0,0,0,NA,20,23,0,0,0,3,0,69,0.260869565217391,597157,2025,0.534883720930233,0.465116279069767,0.0972222222222222,0.0277777777777778,0.291666666666667,11,0.682971014492754
"167","Hits-AB with runners ob","Evan Scully","Jr","P","-","R/R",0,0,0,29,0,22,0,0,1,19,0,114,106,5,0,1,1,2,4,0,0,0,0,0,NA,27,31,0,0,0,8,0,109,0.201834862385321,597157,2025,0.53448275862069,0.46551724137931,0.166666666666667,0.0087719298245614,0.236842105263158,16,0.512071463061323
"168","Hits-AB vs lhb","Evan Scully","Jr","P","-","R/R",0,0,0,13.2,0,15,0,0,2,8,0,59,55,3,0,0,0,0,0,0,0,0,0,0,NA,15,18,0,0,0,4,0,57,0.263157894736842,597157,2025,0.545454545454545,0.454545454545455,0.135593220338983,0.0338983050847458,0.288135593220339,12,0.60392506690455
"169","Hits-AB w2outs","Evan Scully","Jr","P","-","R/R",0,0,0,0,0,14,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597157,2025,NA,NA,NA,NA,Inf,14,Inf
"170","Bases Empty","Evan Scully","Jr","P","-","R/R",0,0,0,41.2,0,31,0,0,6,30,0,169,158,9,0,0,1,0,5,0,0,0,0,0,NA,52,43,0,0,0,12,0,158,0.19620253164557,597157,2025,0.452631578947368,0.547368421052632,0.177514792899408,0.0355029585798817,0.248520710059172,21,0.520672608793349
"171","H-AB scorepos","Evan Scully","Jr","P","-","R/R",0,0,0,14,0,15,0,0,0,12,0,64,59,3,0,1,0,2,3,0,0,0,0,0,NA,15,13,0,0,0,4,0,61,0.245901639344262,597157,2025,0.464285714285714,0.535714285714286,0.1875,0,0.28125,12,0.576331967213115
"172","H-AB scorepos2","Evan Scully","Jr","P","-","R/R",0,0,0,6.1,0,6,0,0,0,5,0,27,27,2,0,0,0,2,0,0,0,0,0,0,NA,8,6,0,0,0,1,0,27,0.222222222222222,597157,2025,0.428571428571429,0.571428571428571,0.185185185185185,0,0.222222222222222,4,0.518518518518518
"173","H-AB runners2","Evan Scully","Jr","P","-","R/R",0,0,0,12,0,8,0,0,0,8,0,47,46,2,0,0,0,2,1,0,0,0,0,0,NA,12,14,0,0,0,4,0,46,0.173913043478261,597157,2025,0.538461538461538,0.461538461538462,0.170212765957447,0,0.191489361702128,6,0.408880666049954
"174","H-AB bases loaded","Evan Scully","Jr","P","-","R/R",0,0,0,1.2,0,2,0,0,0,1,0,8,7,0,0,0,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,8,0.25,597157,2025,0.5,0.5,0.125,0,0.25,2,0.5
"175","Hits-AB vs rhb","Evan Scully","Jr","P","-","R/R",0,0,0,54.2,0,38,0,0,5,39,0,217,203,11,0,1,2,2,9,0,0,0,0,0,NA,60,55,0,0,0,16,0,203,0.187192118226601,597157,2025,0.478260869565217,0.521739130434783,0.179723502304147,0.0230414746543779,0.23963133640553,25,0.510567296996663
"176","11","Charlie Hale","So","P","-","R/R",18,15,2.42,85.2,4,60,29,23,18,92,2,345,313,9,2,0,4,1,10,0,0,0,3,1,NA,75,83,13,2,1,32,0,313,0.191693290734824,597157,2025,0.525316455696203,0.474683544303797,0.266666666666667,0.0521739130434783,0.257309941520468,45,0.528875436728136
"177","Succ-Opp against Leadoff Batter","Charlie Hale","So","P","-","R/R",0,0,0,21.2,0,13,0,0,7,23,0,90,80,4,0,0,0,0,3,0,0,0,0,0,NA,22,20,0,0,0,8,0,80,0.1625,597157,2025,0.476190476190476,0.523809523809524,0.255555555555556,0.0777777777777778,0.255555555555556,9,0.468055555555556
"178","Hits-AB with runners ob","Charlie Hale","So","P","-","R/R",0,0,0,32.1,0,30,0,0,6,37,0,133,120,2,1,0,1,1,4,0,0,0,0,0,NA,19,31,0,0,0,12,0,123,0.24390243902439,597157,2025,0.62,0.38,0.278195488721804,0.0451127819548872,0.300751879699248,26,0.601564887829329
"179","Hits-AB vs lhb","Charlie Hale","So","P","-","R/R",0,0,0,19.2,0,13,0,0,3,15,0,76,72,1,0,0,1,1,1,0,0,0,0,0,NA,23,17,0,0,0,8,0,72,0.180555555555556,597157,2025,0.425,0.575,0.197368421052632,0.0394736842105263,0.223684210526316,11,0.459795321637427
"180","Hits-AB w2outs","Charlie Hale","So","P","-","R/R",0,0,0,0,0,23,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597157,2025,NA,NA,NA,NA,Inf,23,Inf
"181","Bases Empty","Charlie Hale","So","P","-","R/R",0,0,0,53.1,0,30,0,0,12,55,0,214,196,7,1,0,3,0,6,0,0,0,0,0,NA,53,52,0,0,0,20,0,196,0.153061224489796,597157,2025,0.495238095238095,0.504761904761905,0.257009345794392,0.0560747663551402,0.224299065420561,19,0.469197024604234
"182","H-AB scorepos","Charlie Hale","So","P","-","R/R",0,0,0,17,0,16,0,0,5,24,0,76,67,2,0,0,1,0,4,0,0,0,0,0,NA,7,17,0,0,0,7,0,67,0.238805970149254,597157,2025,0.708333333333333,0.291666666666667,0.31578947368421,0.0657894736842105,0.328947368421053,13,0.642380204241948
"183","H-AB scorepos2","Charlie Hale","So","P","-","R/R",0,0,0,8.2,0,10,0,0,2,12,0,40,37,1,0,0,0,0,1,0,0,0,0,0,NA,5,9,0,0,0,3,0,37,0.27027027027027,597157,2025,0.642857142857143,0.357142857142857,0.3,0.05,0.325,9,0.622297297297297
"184","H-AB runners2","Charlie Hale","So","P","-","R/R",0,0,0,13,0,15,0,0,2,17,0,58,55,1,0,0,0,0,1,0,0,0,0,0,NA,7,14,0,0,0,5,0,55,0.272727272727273,597157,2025,0.666666666666667,0.333333333333333,0.293103448275862,0.0344827586206897,0.310344827586207,14,0.601253918495298
"185","H-AB bases loaded","Charlie Hale","So","P","-","R/R",0,0,0,1.1,0,2,0,0,0,3,0,7,6,0,0,0,0,0,1,0,0,0,0,0,NA,1,0,0,0,0,1,0,6,0.333333333333333,597157,2025,0,1,0.428571428571429,0,0.428571428571429,2,0.761904761904762
"186","Hits-AB vs rhb","Charlie Hale","So","P","-","R/R",0,0,0,64.2,0,42,0,0,13,76,0,260,237,8,1,0,2,0,8,0,0,0,0,0,NA,47,66,0,0,0,24,0,239,0.175732217573222,597157,2025,0.584070796460177,0.415929203539823,0.292307692307692,0.05,0.242307692307692,31,0.484985516575475
"187","23","Matt Pappalardo","So","INF","-","R/R",1,0,20.25,1.1,0,5,3,3,2,1,0,11,9,0,1,0,0,0,0,0,0,0,0,0,44,0,3,0,0,0,1,0,9,0.555555555555556,597157,2025,1,0,0.0909090909090909,0.181818181818182,0.636363636363636,4,1.41414141414141
"188","Succ-Opp against Leadoff Batter","Matt Pappalardo","So","INF","-","R/R",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,597157,2025,NA,NA,0,0,1,1,2
"189","Hits-AB with runners ob","Matt Pappalardo","So","INF","-","R/R",0,0,0,1.1,0,4,0,0,2,1,0,10,8,0,1,0,0,0,0,0,0,0,0,0,NA,0,3,0,0,0,1,0,8,0.5,597157,2025,1,0,0.1,0.2,0.6,3,1.35
"190","Hits-AB w2outs","Matt Pappalardo","So","INF","-","R/R",0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597157,2025,NA,NA,NA,NA,Inf,2,Inf
"191","Bases Empty","Matt Pappalardo","So","INF","-","R/R",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,597157,2025,NA,NA,0,0,1,1,2
"192","H-AB scorepos","Matt Pappalardo","So","INF","-","R/R",0,0,0,1.1,0,3,0,0,2,1,0,9,7,0,1,0,0,0,0,0,0,0,0,0,NA,0,3,0,0,0,1,0,7,0.428571428571429,597157,2025,1,0,0.111111111111111,0.222222222222222,0.555555555555556,2,1.26984126984127
"193","H-AB scorepos2","Matt Pappalardo","So","INF","-","R/R",0,0,0,0.1,0,2,0,0,1,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,3,0.666666666666667,597157,2025,1,0,0,0.25,0.75,1,2.08333333333333
"194","H-AB runners2","Matt Pappalardo","So","INF","-","R/R",0,0,0,0.1,0,2,0,0,1,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,3,0.666666666666667,597157,2025,1,0,0,0.25,0.75,1,2.08333333333333
"195","H-AB bases loaded","Matt Pappalardo","So","INF","-","R/R",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,597157,2025,NA,NA,0,0,1,1,2
"196","Hits-AB vs rhb","Matt Pappalardo","So","INF","-","R/R",0,0,0,1.1,0,5,0,0,2,1,0,11,9,0,1,0,0,0,0,0,0,0,0,0,NA,0,3,0,0,0,1,0,9,0.555555555555556,597157,2025,1,0,0.0909090909090909,0.181818181818182,0.636363636363636,4,1.41414141414141
"197","-","Totals","-","-","-","-",0,0,3.13,434,7,368,181,151,155,402,7,0,NA,70,10,7,17,20,63,1,0,0,15,20,NA,430,401,0,0,9,130,5,-254,-1.4488188976378,597157,2025,0.482551143200963,0.517448856799037,Inf,Inf,-36.625,271,-38.628937007874
"198","Succ-Opp against Leadoff Batter","Totals","-","-","-","-",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,597157,2025,NA,NA,NA,NA,NA,0,NA
"199","Hits-AB with runners ob","Totals","-","-","-","-",0,0,0,0,0,178,0,0,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597157,2025,NA,NA,NA,NA,Inf,178,Inf
"200","Hits-AB vs lhb","Totals","-","-","-","-",0,0,0,0,0,71,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597157,2025,NA,NA,NA,NA,Inf,71,Inf
"201","Hits-AB w2outs","Totals","-","-","-","-",0,0,0,0,0,107,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597157,2025,NA,NA,NA,NA,Inf,107,Inf
"202","Bases Empty","Totals","-","-","-","-",0,0,0,215.2,0,190,0,0,83,210,0,968,858,36,4,0,13,2,27,0,0,0,0,0,NA,239,197,0,0,0,75,0,858,0.221445221445221,597157,2025,0.451834862385321,0.548165137614679,0.216942148760331,0.0857438016528926,0.309917355371901,137,0.628099173553719
"203","H-AB scorepos","Totals","-","-","-","-",0,0,0,124.2,0,105,0,0,42,121,0,533,463,21,5,7,2,11,20,1,0,0,0,0,NA,93,120,0,0,0,35,0,470,0.223404255319149,597157,2025,0.563380281690141,0.436619718309859,0.227016885553471,0.0787992495309568,0.31390977443609,77,0.616037434010558
